px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS	sensor
0	0	0	0	0	0	0	0	0	0	0	-99	L
0.0273181	-0.027226	0	0	0	0	0	0	0	0	0	1.76426	R
1.48588	-0.0878728	0.433424	-5.76677e-018	-4.71667e-017	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	5.25956	L
1.58473	0.0228438	1.27938	-0.0771838	-0.0390528	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	13.9641	R
3.69066	0.139294	2.33826	-0.066029	-0.352805	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	19.3177	L
3.79061	0.171372	2.43137	0.0909391	-0.342336	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	3.03732	R
6.76371	0.42064	3.18604	0.0965617	-0.245574	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	7.921	L
6.68653	0.445142	2.89571	0.129129	-0.177191	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	2.05225	R
9.04797	0.590646	3.05005	0.0508689	-0.105004	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	0.461644	L
9.00094	0.658331	2.76839	0.0958546	-0.0703746	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	2.23902	R
11.5896	1.63452	2.71242	0.406818	0.161517	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	1.27723	L
11.5563	1.60499	2.6538	0.39752	0.159732	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	0.550074	R
13.6565	2.36027	2.30149	0.406669	0.0695974	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	1.79645	L
13.686	2.32694	2.41153	0.375554	0.0425347	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	1.40201	R
16.5214	2.89947	2.86915	0.116655	-0.151794	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	4.31936	L
16.474	2.88848	2.80023	0.120053	-0.150203	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	0.594506	R
19.0364	3.6741	2.69448	0.282022	0.0432139	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	1.18293	L
19.0739	3.6961	2.66361	0.296779	0.0588105	19.363	3.87122	18.923	3.74161	2.61382	0.95648	1.53628	R
21.3596	4.72606	2.55991	0.47299	0.135577	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	0.311906	L
21.4324	4.73143	2.71546	0.4516	0.110839	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	1.20574	R
24.0466	5.58647	2.77436	0.311647	-0.0499192	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953	0.815346	L
24.1625	5.6227	2.96321	0.296765	-0.0632588	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953	3.53713	R
26.6464	6.94214	2.83363	0.506186	0.109491	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647	1.11475	L
26.6544	6.93404	2.9181	0.48857	0.0853591	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647	0.583501	R
29.5256	8.08453	3.12836	0.361975	-0.0571403	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822	1.24581	L
29.5146	8.08479	3.0915	0.365873	-0.0535186	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822	0.0886758	R
31.9801	9.85333	3.00085	0.670965	0.177165	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358	1.6522	L
31.9415	9.83248	2.97385	0.664467	0.16931	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358	0.834209	R
34.6081	10.7715	2.71484	0.328121	-0.157483	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617	3.79952	L
34.706	10.8094	2.87658	0.310489	-0.170413	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617	2.60057	R
37.1739	12.0603	2.78375	0.443353	0.023682	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209	1.2544	L
37.2561	12.0833	2.93592	0.438021	0.0140622	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209	1.68196	R
40.2405	13.432	3.32959	0.420788	-0.0112116	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459	2.13133	L
40.169	13.415	3.16926	0.433489	0.00250658	39.9009	13.6243	40.0971	13.6505	2.66232	1.36459	1.27012	R
42.7948	14.8334	3.059	0.510039	0.0508816	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938	0.241105	L
42.7815	14.8292	3.08744	0.506305	0.0441753	42.5714	14.9817	42.7638	15.0065	2.65515	1.33938	0.395562	R
45.3503	16.5393	3.14629	0.625817	0.0927814	45.3572	16.5524	45.4265	16.3307	2.64546	1.29701	0.106757	L
45.3974	16.5534	3.19996	0.619103	0.0865369	45.649	16.5213	45.4265	16.3307	2.64546	1.29701	0.706281	R
48.1887	17.3654	2.81058	0.261824	-0.196793	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832	3.91254	L
48.1579	17.3577	2.78142	0.267553	-0.192532	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832	0.332933	R
50.625	19.0007	2.82118	0.641733	0.179977	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454	3.99333	L
50.6265	18.9848	2.88212	0.621159	0.154328	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454	0.44224	R
